Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
4/19/2021,,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",2.00 cup,147.92,0,0,451.79,0.13,1.02,0.35,0.16,0.2,6,4.3,49.09,0,999.99,1.46,240.08,0.3,16.51,600,0.35,2.16,80,0.71,210.7,600,11.2,169.9,1.2,7.19,5.16,0,2.03,2.03,7.71,0,1.71,4.35,1.12,0,0.52,3.78,0.23,0.38,0.69,1.17,0.95,0.19,0.75,15.66,0.62,0.21,0.54,0.71,Beverages
4/19/2021,,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
4/19/2021,,Breakfast,"Coffee, Prepared From Grounds",24.00 fl oz,7.1,0,284.17,706.08,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
4/19/2021,,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
4/19/2021,,Breakfast,"Blueberries, Fresh","1.50 cup, whole pieces",126.54,0,0,186.94,0.08,0.09,0.93,0.28,0.12,0,71.04,13.32,177.6,119.88,21.53,0,1.29,42.85,13.32,0.13,0.62,13.32,0.75,26.64,170.94,0.22,2.22,0.36,32.17,5.33,0.07,22.11,26.84,0.73,0,0.1,0.32,0.06,0,0.13,0.2,0.02,0.02,0.05,0.1,0.03,0.03,0.06,1.64,0.04,0.01,0.02,0.07,Fruits and Fruit Juices
4/19/2021,,Breakfast,Prosciutto,1.00 slice,16.38,0,0,5.94,0.07,0.03,0.57,0.07,0.03,0.06,0,0.28,0,0,0,2.94,0.03,0,0.74,0.01,0.12,2.02,0,25.85,37.63,1.82,138,0.23,0,0,0,0,0,0.83,5.43,0.41,0.13,0.29,0,0.02,0.11,0.03,0.07,0.08,0.14,0.15,0.05,0.08,2.08,0.08,0.02,0.06,0.08,Pork Products
4/19/2021,,Lunch,Spaghetti Squash,"1.20 cup, shredded",50.22,0,0,171.68,0.07,0.04,1.51,0.66,0.18,0,109.74,14.88,0,204.6,6.51,0,0.22,1.49,39.06,0.07,0.63,20.46,0.2,26.04,217.62,0.56,33.48,0.37,12.02,2.6,1.19,4.71,9.41,0.48,0,0.04,0.23,0.12,0,0.15,0.09,0.01,0.02,0.04,0.06,0.04,0.01,0.04,1.23,0.03,0.02,0.04,0.05,Vegetables and Vegetable Products
4/19/2021,,Lunch,"Chicken Breast, Skin Removed Before Cooking",1.00 oz,49.04,0,0,18.36,0.02,0.03,3.52,0.28,0.17,0.1,0,1.13,0,8.22,0,1.42,0.08,0.09,4.25,0.01,0.3,7.65,0,61.23,70.02,6.92,21.83,0.35,0,0,0,0,0,1.28,24.1,0.44,0.28,0.36,0.03,0.03,0.23,0.11,0.27,0.46,0.66,0.74,0.24,0.35,8.76,0.37,0.1,0.3,0.43,Poultry Products
4/19/2021,,Lunch,"Potatoes, Pan Fried","0.30 cup, chopped",99.03,0,0,58.43,0.07,0.01,0.99,0.38,0.2,0,0.82,6.79,6.89,1.63,5.58,0,0.08,3.35,6.24,0.13,0.24,15.13,0.11,30.21,247.75,0.23,181.28,0.2,15.11,1.55,11.93,0.67,13.56,3.93,0,2.14,0.66,1.02,0.86,0.03,0.31,0.02,0.03,0.05,0.08,0.08,0.02,0.06,1.29,0.05,0.02,0.05,0.07,Vegetables and Vegetable Products
4/19/2021,,Lunch,"Brussels Sprouts, Cooked from Fresh",0.50 cup,40.13,0,0,99.09,0.12,0.09,0.68,0.28,0.2,0,518.31,66.88,1437.89,863.85,69.11,0,0.48,156.39,40.13,0.09,1.34,22.29,0.25,62.42,353.34,1.67,23.41,0.37,7.91,2.9,0.39,1.94,5.02,0.56,0,0.04,0.28,0.11,0,0.19,0,0.02,0.06,0.11,0.13,0.13,0.03,0.08,2.84,0.1,0.03,0.04,0.13,Vegetables and Vegetable Products
4/19/2021,,Lunch,"Chocolate Chip Cookies, Homemade","2.00 each - approx 2 1/4"" diameter",150.91,0.04,5.62,4.03,0.07,0.06,0.49,0.09,0.01,0.04,9.86,17.88,12.4,165.14,0,6.13,0.2,0.96,10.56,0.08,0.7,12.88,0.13,26.3,52.07,3.88,141.1,0.23,19.88,0.76,5.76,13.27,19.12,7.99,22.96,2.29,0.34,4.82,0.2,0.03,0.28,0.03,0.03,0.06,0.11,0.06,0.03,0.08,1.55,0.05,0.02,0.05,0.08,Baked Products
4/19/2021,,Dinner,"Slym, Tom Yum Soup",4.00 oz,331.47,,,,1.74,1.74,,,,,,,,,56.7,,1.76,,479.76,,5.23,,,,,,1160.15,,82.87,16.14,,13.08,66.73,0,0,,,0,0,,,,,,,,,,7.41,,,,,"Meals, Entrees, and Sidedishes"
4/19/2021,,Dinner,"White Rice, Steamed",0.80 cup,164.32,0,0,86.51,0.21,0.02,1.87,0.49,0.12,0,0,54.1,0,0,0,0,0.05,0,12.64,0.09,1.52,15.17,0.6,54.35,44.24,9.48,1.26,0.62,35.61,0.43,29.07,0.04,35.18,0.35,0,0.11,0.1,0.1,0,0.02,0.08,0.07,0.08,0.15,0.28,0.12,0.08,0.18,3.4,0.12,0.04,0.11,0.21,Cereal Grains and Pasta
4/19/2021,,Dinner,"Taylor Farms, Salad Kit, Thai Style Chili Mango ",1.00 Cup,140,,,,,,,,,,,,,,,,,,40,,1,,,,300,,230,,17,3,,9,14,7,0,,,1,0,,,,,,,,,,3,,,,,"Meals, Entrees, and Sidedishes"
4/19/2021,,Dinner,"Godiva, Molten Lava Cakes",1.00 x 0.5 Pouch Mix,230,,,,,,,,,,,,,,,0,,,0,,3.2,,,,140,,100,,38,3,,32,35,8,0,,,4.5,0,,,,,,,,,,2,,,,,Sweets
4/19/2021,,Dinner,"Edy's, Grand Ice Cream, Vanilla Bean",0.60 cup,161.45,0,0,47.58,0.03,0.19,0.09,0.45,0.04,0.3,14.82,3.9,0,328.37,0.47,6.24,0.23,1.17,99.84,0.02,0.07,10.92,0.01,81.9,155.21,1.4,62.4,0.54,18.41,0.55,0,16.55,17.86,8.58,34.32,2.32,0.35,5.3,0.32,0.14,0.1,0.02,0.07,0.15,0.25,0.2,0.06,0.12,2.73,0.11,0.04,0.12,0.17,Sweets
4/19/2021,,Snack,"Sara Lee, Whole Wheat Pita",0.50 loaf,70,,,,,,,,,,,,,,,0,,,35,,0.65,,,,65,,115,,13.5,2,,0.5,11.5,1,0,0,0.5,0,0,,,,,,,,,,3,,,,,Baked Products
4/19/2021,,Snack,Hummus,1.50 tbsp,40.03,0,0,14.46,0.04,0.02,0.18,0.06,0.03,0,3.76,10.65,0.41,6.69,0.31,0,0.06,0.56,20.44,0.09,0.46,7.24,0.18,35.12,35.54,1.51,98.8,0.24,4.43,1.32,2.47,0.73,3.11,1.97,0,0.66,0.82,0.25,0.01,0.02,0.77,0.03,0.05,0.07,0.12,0.09,0.03,0.09,1.65,0.06,0.02,0.05,0.08,Legumes and Legume Products
4/20/2021,,Breakfast,"Coffee, Prepared From Grounds",24.00 fl oz,7.1,0,284.17,706.08,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
4/20/2021,,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
4/20/2021,,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.50 cup,110.94,0,0,338.84,0.1,0.77,0.26,0.12,0.15,4.5,3.23,36.82,0,749.99,1.1,180.06,0.23,12.39,450,0.26,1.62,60,0.53,158.02,450,8.4,127.43,0.9,5.39,3.87,0,1.52,1.52,5.78,0,1.28,3.27,0.84,0,0.39,2.84,0.17,0.29,0.52,0.87,0.71,0.15,0.56,11.74,0.47,0.16,0.4,0.54,Beverages
4/20/2021,,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
4/20/2021,,Breakfast,"Blueberries, Fresh","1.00 cup, whole pieces",84.36,0,0,124.63,0.05,0.06,0.62,0.18,0.08,0,47.36,8.88,118.4,79.92,14.36,0,0.86,28.56,8.88,0.08,0.41,8.88,0.5,17.76,113.96,0.15,1.48,0.24,21.45,3.55,0.04,14.74,17.89,0.49,0,0.07,0.22,0.04,0,0.09,0.13,0.01,0.02,0.03,0.07,0.02,0.02,0.04,1.1,0.03,0,0.01,0.05,Fruits and Fruit Juices
4/20/2021,,Lunch,"Taylor Farms, Salad Kit, Thai Style Chili Mango ",2.00 Cup,280,,,,,,,,,,,,,,,,,,80,,2,,,,600,,460,,34,6,,18,28,14,0,,,2,0,,,,,,,,,,6,,,,,"Meals, Entrees, and Sidedishes"
4/20/2021,,Lunch,"Slym, Tom Yum Soup",2.00 oz,165.74,,,,0.87,0.87,,,,,,,,,28.35,,0.88,,239.88,,2.62,,,,,,580.07,,41.43,8.07,,6.54,33.37,0,0,,,0,0,,,,,,,,,,3.71,,,,,"Meals, Entrees, and Sidedishes"
4/20/2021,,Lunch,"Gelato, Panna & Cacao",1.00 Serving,248,,,,,,,,,,,,,,,,,,,,,,,,,,64,,27.7,4.7,,6.1,23,10,,,,9.1,,,,,,,,,,,4.6,,,,,Sweets
4/20/2021,,Snack,"Chocolate Chip Cookies, Homemade","2.00 each - approx 2 1/4"" diameter",150.91,0.04,5.62,4.03,0.07,0.06,0.49,0.09,0.01,0.04,9.86,17.88,12.4,165.14,0,6.13,0.2,0.96,10.56,0.08,0.7,12.88,0.13,26.3,52.07,3.88,141.1,0.23,19.88,0.76,5.76,13.27,19.12,7.99,22.96,2.29,0.34,4.82,0.2,0.03,0.28,0.03,0.03,0.06,0.11,0.06,0.03,0.08,1.55,0.05,0.02,0.05,0.08,Baked Products
4/23/2021,,Breakfast,"Coffee, Prepared From Grounds",36.00 fl oz,10.66,0,426.25,1059.12,0.15,0.81,2.04,2.71,0.01,0,0,21.31,0,0,0,0,0.11,1.07,21.31,0.02,0.11,31.97,0.25,31.97,522.15,0,21.31,0.21,5.01,5.01,0,0,0,0.21,0,0.16,0.01,0.02,0,0,0,0.02,0.02,0.02,0.05,0.01,0,0.03,1.28,0.01,0,0.02,0.03,Beverages
4/23/2021,,Breakfast,"Vega One, All In One Shake, Chocolate",1.50 scoop,270,,,,1.2,1.35,20.4,7.65,1.5,2.25,,315,,600,60,420,15.3,88.5,270,,10.5,60,,330,705,,330,,22.5,6,,1.5,16.5,9,0,1.5,4.5,1.5,0,,,,,,,,,,30,,,,,Beverages
4/23/2021,,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",2.70 cup,199.69,0,0,609.92,0.18,1.38,0.47,0.21,0.27,8.1,5.81,66.27,0,1349.98,1.97,324.11,0.41,22.29,809.99,0.47,2.92,108,0.96,284.44,809.99,15.12,229.37,1.62,9.7,6.97,0,2.74,2.74,10.41,0,2.3,5.88,1.51,0,0.7,5.1,0.31,0.52,0.94,1.57,1.29,0.26,1.01,21.14,0.84,0.28,0.73,0.96,Beverages
4/23/2021,,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
4/23/2021,,Breakfast,"Blueberries, Fresh","0.80 cup, whole pieces",67.49,0,0,99.7,0.04,0.05,0.49,0.15,0.06,0,37.89,7.1,94.72,63.94,11.48,0,0.69,22.85,7.1,0.07,0.33,7.1,0.4,14.21,91.17,0.12,1.18,0.19,17.16,2.84,0.04,11.79,14.31,0.39,0,0.06,0.17,0.03,0,0.07,0.1,0.01,0.01,0.03,0.05,0.02,0.01,0.03,0.88,0.02,0,0.01,0.04,Fruits and Fruit Juices
4/23/2021,,Lunch,"Orzo, White, Cooked in Unsalted Water",0.75 cup,165.9,0,0,65.24,0.29,0.14,1.77,0.12,0.05,0,0,129.47,7.35,0,0,0,0.06,0,7.35,0.11,1.34,18.9,0.34,60.9,46.2,27.72,1.05,0.54,32.4,1.89,27.31,0.59,30.51,0.98,0,0.14,0.34,0.18,0,0.03,0.31,0.12,0.14,0.24,0.46,0.14,0.07,0.31,6.09,0.21,0.09,0.11,0.27,Cereal Grains and Pasta
4/23/2021,,Lunch,"Lettuce, Mixed Greens","1.00 cup, chopped",9.46,0,0,51.75,0.04,0.05,0.21,0.15,0.05,0,1858.57,59.3,2045.93,3098.1,5.57,0,0.33,106.36,26.18,0.04,0.64,14.08,0.2,17.16,159.96,0.25,16.17,0.21,1.77,1.09,0.01,0.51,0.68,0.13,0,0,0.06,0.02,0,0.04,0,0.01,0.02,0.04,0.06,0.05,0.01,0.04,0.84,0.03,0.01,0.02,0.04,Vegetables and Vegetable Products
4/23/2021,,Lunch,Garlic Bread with Butter,"1.25 small slice - 2"" x 2 1/2"" x 1 3/4""",170.66,0,0,16.67,0.29,0.17,1.94,0.19,0.45,1.16,54.16,68.62,18.07,382.99,0.02,0,0.68,11.15,23.56,0.06,1.6,13.49,0.24,46.15,56.75,11.61,325.47,0.43,21.25,0.93,18.04,1.88,20.31,8.13,0,1.34,3.32,2,0,0.37,2.92,0.1,0.09,0.15,0.28,0.12,0.06,0.2,4.41,0.12,0.05,0.08,0.18,Baked Products
4/23/2021,,Lunch,Hass Avocado,0.50 each,113.56,0,0,49.18,0.05,0.1,1.3,0.99,0.2,0,42.84,60.52,184.28,99.96,5.98,0,1.31,14.28,8.84,0.12,0.41,19.72,0.1,36.72,344.76,0.27,5.44,0.46,5.88,4.62,0.07,0.2,1.25,10.48,0,6.66,1.23,1.45,0,0.08,1.15,0.02,0.03,0.06,0.1,0.09,0.03,0.06,1.33,0.05,0.02,0.03,0.07,Fruits and Fruit Juices
4/23/2021,,Lunch,"Salmon, Atlantic, Wild, Cooked",2.00 oz,103.19,0,0,33.8,0.16,0.28,5.71,1.09,0.54,1.73,0,16.44,0,24.95,0,197.31,2.25,0.41,8.5,0.18,0.58,20.98,0.01,145.15,356.07,26.54,31.75,0.46,0,0,0,0,0,4.61,40.26,1.53,1.85,0.71,0,1.53,0.32,0.15,0.42,0.66,1.17,1.32,0.43,0.56,14.42,0.63,0.16,0.49,0.74,Finfish and Shellfish Products
4/23/2021,,Dinner,"Salmon, Atlantic, Wild, Cooked",2.00 oz,103.19,0,0,33.8,0.16,0.28,5.71,1.09,0.54,1.73,0,16.44,0,24.95,0,197.31,2.25,0.41,8.5,0.18,0.58,20.98,0.01,145.15,356.07,26.54,31.75,0.46,0,0,0,0,0,4.61,40.26,1.53,1.85,0.71,0,1.53,0.32,0.15,0.42,0.66,1.17,1.32,0.43,0.56,14.42,0.63,0.16,0.49,0.74,Finfish and Shellfish Products
4/23/2021,,Dinner,"Broccoli, Cooked From Fresh","0.50 cup, chopped",27.3,0,0,69.61,0.05,0.1,0.43,0.48,0.16,0,724.61,84.24,842.38,1207.42,50.62,0,1.58,109.98,31.2,0.05,0.52,16.38,0.15,52.26,228.54,1.25,31.98,0.35,5.6,2.57,0,1.08,3.03,0.32,0,0.03,0.13,0.06,0,0.09,0,0.02,0.05,0.07,0.11,0.12,0.03,0.09,1.86,0.07,0.03,0.05,0.11,Vegetables and Vegetable Products
4/23/2021,,Dinner,"Brussels Sprouts, Cooked from Fresh",0.50 cup,40.13,0,0,99.09,0.12,0.09,0.68,0.28,0.2,0,518.31,66.88,1437.89,863.85,69.11,0,0.48,156.39,40.13,0.09,1.34,22.29,0.25,62.42,353.34,1.67,23.41,0.37,7.91,2.9,0.39,1.94,5.02,0.56,0,0.04,0.28,0.11,0,0.19,0,0.02,0.06,0.11,0.13,0.13,0.03,0.08,2.84,0.1,0.03,0.04,0.13,Vegetables and Vegetable Products
4/23/2021,,Dinner,"Cauliflower, Cooked from Fresh","0.50 cup, cut pieces",14.26,0,0,57.66,0.03,0.03,0.25,0.31,0.11,0,4.34,27.28,17.98,7.44,27.47,0,0.04,8.56,9.92,0.01,0.2,5.58,0.08,19.84,88.04,0.37,9.3,0.11,2.55,1.43,0.1,1.29,1.12,0.28,0,0.02,0.13,0.04,0,0.1,0,0.01,0.02,0.04,0.07,0.06,0.02,0.04,1.14,0.04,0.01,0.02,0.06,Vegetables and Vegetable Products
4/23/2021,,Dinner,"Carrots, Cooked From Fresh",36.25 g,12.69,0,0,32.69,0.02,0.02,0.23,0.08,0.06,0,3020.26,5.07,249.03,6174.28,1.3,0,0.37,4.97,10.87,0.01,0.12,3.62,0.06,10.87,85.19,0.25,21.02,0.07,2.98,1.09,0.06,1.25,1.89,0.07,0,0,0.03,0.01,0,0,0,0.02,0.01,0.02,0.03,0.03,0.01,0.02,0.28,0.06,0,0.01,0.02,Vegetables and Vegetable Products
4/23/2021,,Dinner,"Chocolate Chip Cookies, Homemade","2.00 each - approx 2 1/4"" diameter",150.91,0.04,5.62,4.03,0.07,0.06,0.49,0.09,0.01,0.04,9.86,17.88,12.4,165.14,0,6.13,0.2,0.96,10.56,0.08,0.7,12.88,0.13,26.3,52.07,3.88,141.1,0.23,19.88,0.76,5.76,13.27,19.12,7.99,22.96,2.29,0.34,4.82,0.2,0.03,0.28,0.03,0.03,0.06,0.11,0.06,0.03,0.08,1.55,0.05,0.02,0.05,0.08,Baked Products
4/23/2021,,Dinner,Nestle Toll House Chocolate Chips,4.00 Tablespoon,280,,,,,,,,,,,,,,,,,,,,,,,,,,0,,36,,,32,36,16,0,,,10,,,,,,,,,,,,,,,,Sweets
4/23/2021,,Dinner,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.00 cup,73.96,0,0,225.9,0.07,0.51,0.17,0.08,0.1,3,2.15,24.55,0,499.99,0.73,120.04,0.15,8.26,300,0.17,1.08,40,0.35,105.35,300,5.6,84.95,0.6,3.59,2.58,0,1.02,1.01,3.86,0,0.85,2.18,0.56,0,0.26,1.89,0.11,0.19,0.35,0.58,0.48,0.1,0.37,7.83,0.31,0.1,0.27,0.36,Beverages
4/24/2021,,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",3.00 cup,221.88,0,0,677.69,0.2,1.53,0.52,0.23,0.3,9,6.45,73.64,0,1499.98,2.19,360.12,0.45,24.77,899.99,0.52,3.24,120,1.06,316.05,899.99,16.8,254.86,1.8,10.78,7.74,0,3.05,3.04,11.57,0,2.56,6.53,1.68,0,0.77,5.67,0.34,0.58,1.04,1.75,1.43,0.29,1.12,23.49,0.93,0.31,0.81,1.07,Beverages
4/24/2021,,Breakfast,"Kale, Raw","1.50 cup, chopped",11.03,0,0,28.24,0.04,0.11,0.37,0.12,0.05,0,905.28,19.54,1972.83,1516.25,29.43,0,0.21,122.76,80.04,0.02,0.5,10.4,0.29,17.33,109.65,0.28,16.7,0.12,1.39,1.29,0,0.31,0.1,0.47,0,0.03,0.21,0.06,0,0.12,0.09,0.01,0.05,0.06,0.06,0.06,0.01,0.05,0.92,0.04,0.01,0.03,0.05,Vegetables and Vegetable Products
4/24/2021,,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
4/24/2021,,Breakfast,"Banana, Fresh","1.00 small - 6"" to 6 7/8"" long",89.89,0,0,75.66,0.03,0.07,0.67,0.34,0.37,0,26.26,20.2,22.22,64.64,8.79,0,0.13,0.51,5.05,0.08,0.26,27.27,0.27,22.22,361.58,1.01,1.01,0.15,23.07,2.63,5.43,12.35,20.44,0.33,0,0.03,0.07,0.11,0,0.03,0.05,0.01,0.08,0.03,0.07,0.05,0.01,0.05,1.1,0.03,0.01,0.01,0.05,Fruits and Fruit Juices
4/24/2021,,Breakfast,"Blueberries, Fresh","0.60 cup, whole pieces",50.62,0,0,74.78,0.03,0.04,0.37,0.11,0.05,0,28.42,5.33,71.04,47.95,8.61,0,0.52,17.14,5.33,0.05,0.25,5.33,0.3,10.66,68.38,0.09,0.89,0.14,12.87,2.13,0.03,8.84,10.74,0.29,0,0.04,0.13,0.02,0,0.05,0.08,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.66,0.02,0,0.01,0.03,Fruits and Fruit Juices
4/24/2021,,Breakfast,"Strawberries, Fresh","0.75 cup, halves",36.48,0,0,103.68,0.03,0.03,0.44,0.14,0.05,0,7.98,27.36,29.64,13.68,67.03,0,0.32,2.51,18.24,0.05,0.47,14.82,0.44,27.36,174.42,0.46,1.14,0.16,8.76,2.28,0.05,5.57,6.48,0.34,0,0.05,0.18,0.02,0,0.07,0.1,0.01,0.01,0.02,0.04,0.03,0,0.02,0.76,0.02,0.01,0.03,0.02,Fruits and Fruit Juices
4/24/2021,,Breakfast,"Oatmeal, Avena, Steel Cut Cooking",0.80 cup,161.71,0,0,147.75,0.2,0.07,0.48,0.48,0.04,0,0,13.65,76.8,0,0,0,0.18,0.85,33.66,0.2,1.81,62.68,1.55,174.94,154.49,12.33,173.66,1.59,28.89,4.31,24.71,0.42,24.58,2.78,0,0.84,0.98,0.47,0,0.04,0.94,0.19,0.12,0.22,0.42,0.27,0.09,0.28,5.61,0.16,0.08,0.17,0.29,Breakfast Cereals
4/24/2021,,Lunch,"White Rice, Steamed",1.00 cup,205.41,0,0,108.14,0.26,0.02,2.33,0.62,0.15,0,0,67.63,0,0,0,0,0.06,0,15.8,0.11,1.9,18.96,0.75,67.94,55.3,11.85,1.58,0.77,44.51,0.54,36.34,0.05,43.97,0.44,0,0.14,0.12,0.12,0,0.02,0.1,0.09,0.1,0.18,0.35,0.15,0.1,0.23,4.25,0.15,0.05,0.14,0.26,Cereal Grains and Pasta
4/24/2021,,Lunch,"Salmon, Atlantic, Wild, Cooked",3.00 oz,154.79,0,0,50.71,0.23,0.41,8.57,1.63,0.8,2.59,0,24.66,0,37.42,0,295.97,3.37,0.62,12.76,0.27,0.88,31.47,0.02,217.72,534.11,39.8,47.63,0.7,0,0,0,0,0,6.91,60.38,2.29,2.77,1.07,0,2.29,0.48,0.23,0.64,1,1.76,1.99,0.64,0.84,21.64,0.95,0.24,0.73,1.11,Finfish and Shellfish Products
4/24/2021,,Lunch,"Carrots, Cooked From Fresh",72.50 g,25.37,0,0,65.37,0.05,0.03,0.47,0.17,0.11,0,6040.53,10.15,498.06,12348.57,2.61,0,0.75,9.93,21.75,0.01,0.25,7.25,0.11,21.75,170.37,0.51,42.05,0.14,5.96,2.17,0.12,2.5,3.78,0.13,0,0,0.06,0.02,0,0,0,0.05,0.02,0.05,0.06,0.06,0.01,0.04,0.55,0.11,0.01,0.03,0.04,Vegetables and Vegetable Products
4/24/2021,,Lunch,"Brussels Sprouts, Cooked from Fresh",0.25 cup,20.06,0,0,49.55,0.06,0.04,0.34,0.14,0.1,0,259.16,33.44,718.95,431.93,34.55,0,0.24,78.19,20.06,0.05,0.67,11.15,0.13,31.21,176.67,0.84,11.7,0.18,3.96,1.45,0.2,0.97,2.51,0.28,0,0.02,0.14,0.06,0,0.1,0,0.01,0.03,0.06,0.06,0.06,0.01,0.04,1.42,0.05,0.02,0.02,0.07,Vegetables and Vegetable Products
4/24/2021,,Dinner,"Broccoli, Cooked From Fresh","0.75 cup, chopped",40.95,0,0,104.42,0.07,0.14,0.65,0.72,0.23,0,1086.91,126.36,1263.58,1811.13,75.93,0,2.36,164.97,46.8,0.07,0.78,24.57,0.23,78.39,342.8,1.87,47.97,0.53,8.4,3.86,0,1.63,4.54,0.48,0,0.05,0.2,0.09,0,0.14,0,0.04,0.07,0.11,0.17,0.18,0.05,0.14,2.78,0.11,0.04,0.07,0.16,Vegetables and Vegetable Products
4/24/2021,,Dinner,"Cauliflower, Cooked from Fresh","0.75 cup, cut pieces",21.39,0,0,86.49,0.04,0.05,0.38,0.47,0.16,0,6.51,40.92,26.97,11.16,41.2,0,0.07,12.83,14.88,0.02,0.3,8.37,0.12,29.76,132.06,0.56,13.95,0.16,3.82,2.14,0.15,1.93,1.68,0.42,0,0.03,0.2,0.07,0,0.16,0,0.02,0.03,0.07,0.1,0.09,0.02,0.06,1.71,0.06,0.02,0.04,0.09,Vegetables and Vegetable Products
4/24/2021,,Dinner,"Red Bell Peppers, Cooked",0.75 cup,17.96,0,0,58.92,0.04,0.02,0.31,0.05,0.15,0,978.06,10.26,30.14,1886.21,109.67,0,1.06,3.27,5.77,0.04,0.3,6.41,0.07,11.54,106.46,0.19,1.28,0.08,4.3,0.77,0.04,2.82,3.53,0.13,0,0.01,0.07,0.02,0,0.01,0,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.59,0.02,0.01,0.01,0.03,Vegetables and Vegetable Products
